logz logzerr logvol nlive logl logwt insert_order
-1.012724153764563937e+02 6.836171526123668851e-01 -2.750000000000001887e-01 4.000000000000000000e+02 -9.536637033453673951e+01 -1.016340846212280553e+02 9.749999999999999778e-01
-1.007438405823145899e+02 4.706745902252852942e-01 -2.775000000000001910e-01 4.000000000000000000e+02 -9.503230100108932277e+01 -1.013025152877806363e+02 1.395000000000000018e+00
-1.002915131442854175e+02 6.264060183088132616e-01 -2.800000000000001932e-01 4.000000000000000000e+02 -9.501473343902942759e+01 -1.012874477257207388e+02 6.250000000000000000e-01
-9.997715647153840735e+01 5.346778074824737326e-01 -2.825000000000001954e-01 4.000000000000000000e+02 -9.467450777909840554e+01 -1.009497220657897145e+02 1.875000000000000000e+00
-9.965644223446207661e+01 5.746403997140159259e-01 -2.850000000000001976e-01 4.000000000000000000e+02 -9.343439463685416513e+01 -9.971210892354547184e+01 1.425000000000000044e+00
-9.899074110091201817e+01 7.557823640092767858e-01 -2.875000000000001998e-01 4.000000000000000000e+02 -9.298745467890911698e+01 -9.926766896560043563e+01 7.800000000000000266e-01
-9.842650219801426204e+01 7.990424861210623231e-01 -2.900000000000002021e-01 4.000000000000000000e+02 -9.256084930226002427e+01 -9.884356358895134065e+01 1.465000000000000080e+00
-9.792029896308136472e+01 9.305929871879533577e-01 -2.925000000000002043e-01 4.000000000000000000e+02 -9.221249486060777656e+01 -9.849770914729909066e+01 1.254999999999999893e+00
-9.747474795243910251e+01 5.950090352718172548e-01 -2.950000000000002065e-01 4.000000000000000000e+02 -9.029879036153819527e+01 -9.658650464822950710e+01 7.850000000000000311e-01
-9.624193826917303340e+01 9.582552892629472296e-01 -2.975000000000002087e-01 4.000000000000000000e+02 -9.009340947891686824e+01 -9.638362376560817779e+01 1.064999999999999947e+00
-9.561712658547997989e+01 5.598042956068443043e-01 -3.000000000000002109e-01 4.000000000000000000e+02 -8.994014336818315769e+01 -9.623285765487446497e+01 1.169999999999999929e+00
-9.518518457546662148e+01 8.958925939800866933e-01 -3.025000000000002132e-01 4.000000000000000000e+02 -8.963892765636870763e+01 -9.593414194306002685e+01 1.215000000000000080e+00
-9.479797895221710746e+01 6.201926000782619353e-01 -3.050000000000002154e-01 4.000000000000000000e+02 -8.943918228289432193e+01 -9.573689656958563887e+01 3.400000000000000244e-01
-9.446791946694249020e+01 3.105042774253197191e-01 -3.075000000000002176e-01 4.000000000000000000e+02 -8.926405935265239577e+01 -9.556427363934371044e+01 3.250000000000000111e-01
-9.417967238720450496e+01 3.793695658752567756e-01 -3.100000000000002198e-01 4.000000000000000000e+02 -8.913779879640642889e+01 -9.544051308309774129e+01 1.150000000000000050e-01
